model,tier,macro_AUC,accuracy,AUC_arxiv_abstract,AUC_brown_news_general,AUC_csat,AUC_gutenberg_fiction,AUC_judicial_opinion,AUC_logiqa,AUC_onestop_ele,AUC_onestop_int,AUC_reuters_newswire,AUC_wikitext_modern_encyclopedic
LR_OvR,T1_surface,0.9502,0.7392,0.969,0.8551,0.9464,0.9818,0.9899,0.9901,0.9674,0.9563,0.8769,0.9688
RF,T1_surface,0.9611,0.828,0.9773,0.868,0.9447,0.9835,0.9956,0.9925,0.9803,0.9716,0.9221,0.9757
LR_OvR,T3_full,0.9722,0.825,0.9782,0.8954,0.959,0.9889,0.998,0.992,0.988,0.981,0.9613,0.9806
RF,T3_full,0.9702,0.8578,0.9833,0.8829,0.9585,0.9847,0.9986,0.9939,0.9869,0.9767,0.9643,0.9725
